time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,23,1.15,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1064301,-0.04870605,-0.7731628,18.74937,4.020569,-32.35919,283.0783,292.4101,10,-0.4747846,-0.5037367,0.6557043,-2.669519,0.02548672,0.06968201,-0.4312178,-1.012785,0.5592901,0.1948385,0.04952981,0.1426502,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,24,1.2,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.01716614,0.07394409,-0.6383362,17.63225,4.437958,-32.76434,280.9791,290.3109,10,-1.192994,-0.06735614,0.7039512,-2.633238,-0.00467302,0.04267833,-0.8016413,-0.3595564,0.6871352,0.04899553,0.1000689,0.2571352,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,25,1.25,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.1400452,-0.02113342,-0.8756256,16.61983,4.820587,-32.79816,279.6006,288.9325,10,-0.6217222,-0.3696018,-0.1542221,-2.607291,-0.008923551,-0.00955,-0.9597968,-0.3094155,0.3790377,-0.05072358,-0.03666472,0.0796265,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,26,1.3,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.03208923,-0.02352905,-0.8813171,16.02635,4.855377,-33.10205,275.2972,284.6291,10,-0.7320257,-0.9427702,-0.1075755,-2.61479,-0.04217247,-0.04121818,-0.6110944,-0.9467416,-0.1792222,0.006998423,-0.06526962,0.07391535,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,27,1.35,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.07748413,-0.1639862,-1.00882,14.90921,6.107605,-33.77722,275.8894,285.2213,10,0.3034155,-1.422207,0.002108425,-2.622452,-0.09398975,-0.06202023,-0.1618364,-1.518785,-0.2211722,-0.1145504,-0.02648854,0.01857441,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,28,1.4,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.2128448,-0.03213501,-0.9727631,13.5826,5.968506,-34.38492,274.5042,283.836,10,0.9088072,0.2458958,-0.4163714,-2.621008,-0.141945,-0.035514,0.8485963,0.1727836,-0.2059781,0.0822671,-0.03784113,0.05609095,128.237.254.209,0.0.0.0,5,3
